,CHANGI,PASIR RIS,TAMPINES,BEDOK,PAYA LEBAR,GEYLANG,MARINE PARADE,KALLANG,ROCHOR,DOWNTOWN,TOA PAYOH,HOUGANG,SERANGOON,SENGKANG,PUNGGOL,SELETAR,NOVENA,BISHAN,ANG MO KIO,YISHUN,SIMPANG,SEMBAWANG,MANDAI,WOODLANDS,SUNGEI KADUT,BUKIT PANJANG,BUKIT TIMAH,TANGLIN,BUKIT MERAH,QUEENSTOWN,CLEMENTI,JURONG EAST,JURONG WEST,BOON LAY,PIONEER,TUAS,TENGAH,BUKIT BATOK,CHOA CHU KANG,LIM CHU KANG
CHANGI,0,1,1,2,2,3,3,4,5,4,4,3,3,2,2,3,5,4,3,3,4,4,4,5,5,6,6,6,5,6,7,8,8,9,9,10,7,7,6,6
PASIR RIS,1,0,1,2,1,3,3,4,5,4,3,2,2,1,1,2,4,3,2,2,3,3,3,4,4,5,5,5,5,6,6,7,7,8,8,9,6,6,5,5
TAMPINES,1,1,0,1,1,2,2,3,4,3,3,2,3,2,2,3,4,4,3,3,4,4,4,5,5,6,5,5,4,5,6,7,8,8,9,10,7,6,6,6
BEDOK,2,2,1,0,1,1,1,2,3,2,2,1,2,2,3,3,3,3,3,3,4,4,4,5,5,5,4,4,3,4,5,6,7,7,8,9,6,5,6,6
PAYA LEBAR,2,1,1,1,0,2,2,3,4,3,2,1,2,1,2,2,3,3,2,2,3,3,3,4,4,5,4,4,4,5,5,6,7,7,8,9,6,5,5,5
GEYLANG,3,3,2,1,2,0,1,1,2,2,1,1,2,2,3,3,2,2,3,3,4,4,4,5,5,4,3,3,3,4,4,5,6,6,7,8,5,4,5,6
MARINE PARADE,3,3,2,1,2,1,0,1,2,1,2,2,3,3,4,4,2,3,4,4,5,5,5,6,5,4,3,3,2,3,4,5,6,6,7,8,5,4,5,6
KALLANG,4,4,3,2,3,1,1,0,1,1,1,2,2,3,4,4,1,2,3,4,5,5,5,5,4,3,2,2,2,3,3,4,5,5,6,7,4,3,4,5
ROCHOR,5,5,4,3,4,2,2,1,0,1,2,3,3,4,5,5,1,2,3,4,5,5,5,5,4,3,2,1,1,2,3,4,5,5,6,7,4,3,4,5
DOWNTOWN,4,4,3,2,3,2,1,1,1,0,2,3,3,4,5,5,2,3,4,5,6,6,6,6,5,4,3,2,1,2,3,4,5,5,6,7,5,4,5,6
TOA PAYOH,4,3,3,2,2,1,2,1,2,2,0,1,1,2,3,3,1,1,2,3,4,4,4,5,4,3,2,2,3,3,3,4,5,5,6,7,4,3,4,5
HOUGANG,3,2,2,1,1,1,2,2,3,3,1,0,1,1,2,2,2,2,2,2,3,3,3,4,4,4,3,3,4,4,4,5,6,6,7,8,5,4,5,5
SERANGOON,3,2,3,2,2,2,3,2,3,3,1,1,0,1,2,2,2,1,1,2,3,3,3,4,4,4,3,3,4,4,4,5,6,6,7,8,5,4,5,5
SENGKANG,2,1,2,2,1,2,3,3,4,4,2,1,1,0,1,1,3,2,1,1,2,2,2,3,3,4,4,4,5,5,5,6,6,7,7,8,5,5,4,4
PUNGGOL,2,1,2,3,2,3,4,4,5,5,3,2,2,1,0,1,4,3,2,2,3,3,3,4,4,5,5,5,6,6,6,7,7,8,8,9,6,6,5,5
SELETAR,3,2,3,3,2,3,4,4,5,5,3,2,2,1,1,0,4,3,2,1,2,2,2,3,3,4,5,5,6,6,6,6,6,7,7,8,5,5,4,4
NOVENA,5,4,4,3,3,2,2,1,1,2,1,2,2,3,4,4,0,1,2,3,4,4,4,4,3,2,1,1,2,2,2,3,4,4,5,6,3,2,3,4
BISHAN,4,3,4,3,3,2,3,2,2,3,1,2,1,2,3,3,1,0,1,2,3,3,3,4,4,3,2,2,3,3,3,4,5,5,6,7,4,3,4,5
ANG MO KIO,3,2,3,3,2,3,4,3,3,4,2,2,1,1,2,2,2,1,0,1,2,2,2,3,3,4,3,3,4,4,4,5,6,6,7,8,5,4,4,4
YISHUN,3,2,3,3,2,3,4,4,4,5,3,2,2,1,2,1,3,2,1,0,1,1,1,2,2,3,4,4,5,5,5,5,5,6,6,7,4,4,3,3
SIMPANG,4,3,4,4,3,4,5,5,5,6,4,3,3,2,3,2,4,3,2,1,0,1,2,2,3,4,5,5,6,6,6,6,6,7,7,8,5,5,4,4
SEMBAWANG,4,3,4,4,3,4,5,5,5,6,4,3,3,2,3,2,4,3,2,1,1,0,1,1,2,3,4,5,6,5,5,5,5,6,6,7,4,4,3,3
MANDAI,4,3,4,4,3,4,5,5,5,6,4,3,3,2,3,2,4,3,2,1,2,1,0,1,1,2,3,4,5,4,4,4,4,5,5,6,3,3,2,2
WOODLANDS,5,4,5,5,4,5,6,5,5,6,5,4,4,3,4,3,4,4,3,2,2,1,1,0,1,2,3,4,5,4,4,4,4,5,5,6,3,3,2,2
SUNGEI KADUT,5,4,5,5,4,5,5,4,4,5,4,4,4,3,4,3,3,4,3,2,3,2,1,1,0,1,2,3,4,3,3,3,3,4,4,5,2,2,1,1
BUKIT PANJANG,6,5,6,5,5,4,4,3,3,4,3,4,4,4,5,4,2,3,4,3,4,3,2,2,1,0,1,2,3,2,2,2,3,3,4,5,2,1,1,2
BUKIT TIMAH,6,5,5,4,4,3,3,2,2,3,2,3,3,4,5,5,1,2,3,4,5,4,3,3,2,1,0,1,2,1,1,2,3,3,4,5,2,1,2,3
TANGLIN,6,5,5,4,4,3,3,2,1,2,2,3,3,4,5,5,1,2,3,4,5,5,4,4,3,2,1,0,1,1,2,3,4,4,5,6,3,2,3,4
BUKIT MERAH,5,5,4,3,4,3,2,2,1,1,3,4,4,5,6,6,2,3,4,5,6,6,5,5,4,3,2,1,0,1,2,3,4,4,5,6,4,3,4,5
QUEENSTOWN,6,6,5,4,5,4,3,3,2,2,3,4,4,5,6,6,2,3,4,5,6,5,4,4,3,2,1,1,1,0,1,2,3,3,4,5,3,2,3,4
CLEMENTI,7,6,6,5,5,4,4,3,3,3,3,4,4,5,6,6,2,3,4,5,6,5,4,4,3,2,1,2,2,1,0,1,2,2,3,4,2,1,2,4
JURONG EAST,8,7,7,6,6,5,5,4,4,4,4,5,5,6,7,6,3,4,5,5,6,5,4,4,3,2,2,3,3,2,1,0,1,1,2,3,1,1,2,4
JURONG WEST,8,7,8,7,7,6,6,5,5,5,5,6,6,6,7,6,4,5,6,5,6,5,4,4,3,3,3,4,4,3,2,1,0,1,1,2,1,2,2,4
BOON LAY,9,8,8,7,7,6,6,5,5,5,5,6,6,7,8,7,4,5,6,6,7,6,5,5,4,3,3,4,4,3,2,1,1,0,1,2,2,2,3,5
PIONEER,9,8,9,8,8,7,7,6,6,6,6,7,7,7,8,7,5,6,7,6,7,6,5,5,4,4,4,5,5,4,3,2,1,1,0,1,2,3,3,5
TUAS,10,9,10,9,9,8,8,7,7,7,7,8,8,8,9,8,6,7,8,7,8,7,6,6,5,5,5,6,6,5,4,3,2,2,1,0,3,4,4,6
TENGAH,7,6,7,6,6,5,5,4,4,5,4,5,5,5,6,5,3,4,5,4,5,4,3,3,2,2,2,3,4,3,2,1,1,2,2,3,0,1,1,3
BUKIT BATOK,7,6,6,5,5,4,4,3,3,4,3,4,4,5,6,5,2,3,4,4,5,4,3,3,2,1,1,2,3,2,1,1,2,2,3,4,1,0,1,3
CHOA CHU KANG,6,5,6,6,5,5,5,4,4,5,4,5,5,4,5,4,3,4,4,3,4,3,2,2,1,1,2,3,4,3,2,2,2,3,3,4,1,1,0,2
LIM CHU KANG,6,5,6,6,5,6,6,5,5,6,5,5,5,4,5,4,4,5,4,3,4,3,2,2,1,2,3,4,5,4,4,4,4,5,5,6,3,3,2,0
