Index,Lower,Upper
0,0,0.025
1,0.025,0.05
2,0.05,0.075
3,0.075,0.1
4,0.1,0.125
5,0.125,0.15
6,0.15,0.175
7,0.175,0.2
8,0.2,0.225
9,0.225,0.25
10,0.25,0.275
11,0.275,0.3
12,0.3,0.325
13,0.325,0.35
14,0.35,0.375
15,0.375,0.4
16,0.4,0.425
17,0.425,0.45
18,0.45,0.475
19,0.475,0.5
20,0.5,0.525
21,0.525,0.55
22,0.55,0.575
23,0.575,0.6
24,0.6,0.625
25,0.625,0.65
26,0.65,0.675
27,0.675,0.7
28,0.7,0.725
29,0.725,0.75
30,0.75,0.775
31,0.775,0.8
32,0.8,0.825
33,0.825,0.85
34,0.85,0.875
35,0.875,0.9
36,0.9,0.925
37,0.925,0.95
38,0.95,0.975
39,0.975,1
